127.0.0.1 - - [02/Feb/2019:12:30:57 +0100] "GET /Acme-HandyWorker/styles/common.css HTTP/1.1" 304 -
127.0.0.1 - - [02/Feb/2019:12:30:57 +0100] "GET /Acme-HandyWorker/styles/displaytag.css HTTP/1.1" 304 -
127.0.0.1 - - [02/Feb/2019:12:30:57 +0100] "GET /Acme-HandyWorker/styles/jmenu.css HTTP/1.1" 304 -
127.0.0.1 - - [02/Feb/2019:12:30:57 +0100] "GET /Acme-HandyWorker/styles/style.css HTTP/1.1" 304 -
127.0.0.1 - - [02/Feb/2019:12:30:57 +0100] "GET /Acme-HandyWorker/images/spain.png HTTP/1.1" 304 -
127.0.0.1 - - [02/Feb/2019:12:30:57 +0100] "GET /Acme-HandyWorker/images/uk.png HTTP/1.1" 304 -
127.0.0.1 - - [02/Feb/2019:12:31:03 +0100] "GET /Acme-HandyWorker/images/arrow_down.png HTTP/1.1" 304 -
127.0.0.1 - - [02/Feb/2019:12:31:12 +0100] "GET /Acme-HandyWorker/warranty/administrator/list.do HTTP/1.1" 200 5765
127.0.0.1 - - [02/Feb/2019:12:31:37 +0100] "GET /Acme-HandyWorker/warranty/administrator/list.do HTTP/1.1" 200 5711
127.0.0.1 - - [02/Feb/2019:12:31:37 +0100] "GET /Acme-HandyWorker/scripts/jquery-ui.js HTTP/1.1" 304 -
127.0.0.1 - - [02/Feb/2019:12:31:37 +0100] "GET /Acme-HandyWorker/styles/displaytag.css HTTP/1.1" 304 -
127.0.0.1 - - [02/Feb/2019:12:31:37 +0100] "GET /Acme-HandyWorker/scripts/jquery.js HTTP/1.1" 304 -
127.0.0.1 - - [02/Feb/2019:12:31:37 +0100] "GET /Acme-HandyWorker/scripts/jmenu.js HTTP/1.1" 304 -
127.0.0.1 - - [02/Feb/2019:12:31:37 +0100] "GET /Acme-HandyWorker/styles/common.css HTTP/1.1" 304 -
127.0.0.1 - - [02/Feb/2019:12:31:37 +0100] "GET /Acme-HandyWorker/styles/jmenu.css HTTP/1.1" 304 -
127.0.0.1 - - [02/Feb/2019:12:31:37 +0100] "GET /Acme-HandyWorker/styles/style.css HTTP/1.1" 304 -
127.0.0.1 - - [02/Feb/2019:12:31:37 +0100] "GET /Acme-HandyWorker/images/uk.png HTTP/1.1" 304 -
127.0.0.1 - - [02/Feb/2019:12:31:37 +0100] "GET /Acme-HandyWorker/images/spain.png HTTP/1.1" 304 -
127.0.0.1 - - [02/Feb/2019:12:33:18 +0100] "GET /Acme-HandyWorker/warranty/administrator/list.do HTTP/1.1" 200 5711
127.0.0.1 - - [02/Feb/2019:12:33:18 +0100] "GET /Acme-HandyWorker/scripts/jquery.js HTTP/1.1" 304 -
127.0.0.1 - - [02/Feb/2019:12:33:18 +0100] "GET /Acme-HandyWorker/scripts/jquery-ui.js HTTP/1.1" 304 -
127.0.0.1 - - [02/Feb/2019:12:33:18 +0100] "GET /Acme-HandyWorker/styles/common.css HTTP/1.1" 304 -
127.0.0.1 - - [02/Feb/2019:12:33:18 +0100] "GET /Acme-HandyWorker/styles/displaytag.css HTTP/1.1" 304 -
127.0.0.1 - - [02/Feb/2019:12:33:18 +0100] "GET /Acme-HandyWorker/scripts/jmenu.js HTTP/1.1" 304 -
127.0.0.1 - - [02/Feb/2019:12:33:18 +0100] "GET /Acme-HandyWorker/styles/jmenu.css HTTP/1.1" 304 -
127.0.0.1 - - [02/Feb/2019:12:33:18 +0100] "GET /Acme-HandyWorker/styles/style.css HTTP/1.1" 304 -
127.0.0.1 - - [02/Feb/2019:12:33:18 +0100] "GET /Acme-HandyWorker/images/spain.png HTTP/1.1" 304 -
127.0.0.1 - - [02/Feb/2019:12:33:18 +0100] "GET /Acme-HandyWorker/images/uk.png HTTP/1.1" 304 -
127.0.0.1 - - [02/Feb/2019:12:33:21 +0100] "GET /Acme-HandyWorker/images/arrow_down.png HTTP/1.1" 304 -
127.0.0.1 - - [02/Feb/2019:12:33:24 +0100] "GET /Acme-HandyWorker/warranty/administrator/list.do HTTP/1.1" 200 5711
127.0.0.1 - - [02/Feb/2019:12:35:38 +0100] "GET /Acme-HandyWorker/warranty/administrator/list.do HTTP/1.1" 200 5819
127.0.0.1 - - [02/Feb/2019:12:35:38 +0100] "GET /Acme-HandyWorker/scripts/jquery.js HTTP/1.1" 304 -
127.0.0.1 - - [02/Feb/2019:12:35:38 +0100] "GET /Acme-HandyWorker/styles/displaytag.css HTTP/1.1" 304 -
127.0.0.1 - - [02/Feb/2019:12:35:38 +0100] "GET /Acme-HandyWorker/styles/jmenu.css HTTP/1.1" 304 -
127.0.0.1 - - [02/Feb/2019:12:35:38 +0100] "GET /Acme-HandyWorker/styles/common.css HTTP/1.1" 304 -
127.0.0.1 - - [02/Feb/2019:12:35:38 +0100] "GET /Acme-HandyWorker/scripts/jquery-ui.js HTTP/1.1" 304 -
